Tree Age (yrs),Survival Factors Slow,Survival Factors Moderate,Survival Factors Fast,Growth Rate Slow Hardwood,Growth Rate Moderate Hardwood,Growth Rate Fast Hardwood,Growth Rate Slow Conifer,Growth Rate Moderate Conifer,Growth Rate Fast Conifer
0,0.873,0.873,0.873,1.3,1.9,2.7,0.7,1.0,1.4
1,0.798,0.798,0.798,1.6,2.7,4.0,0.9,1.5,2.2
2,0.736,0.736,0.736,2.0,3.5,5.4,1.1,2.0,3.1
3,0.706,0.706,0.706,2.4,4.3,6.9,1.4,2.5,4.1
4,0.678,0.678,0.678,2.8,5.2,8.5,1.6,3.1,5.2
5,0.658,0.658,0.658,3.2,6.1,10.1,1.9,3.7,6.4
6,0.639,0.639,0.644,3.7,7.1,11.8,2.2,4.4,7.6
7,0.621,0.621,0.63,4.1,8.1,13.6,2.5,5.1,8.9
8,0.603,0.603,0.616,4.6,9.1,15.5,2.8,5.8,10.2
9,0.585,0.589,0.602,5.0,10.2,17.4,3.1,6.6,11.7
10,0.568,0.576,0.589,5.5,11.2,19.3,3.5,7.4,13.2
11,0.552,0.564,0.576,6.0,12.3,21.3,3.8,8.2,14.7
12,0.536,0.551,0.563,6.5,13.5,23.3,4.2,9.1,16.3
13,0.524,0.539,0.551,7.0,14.6,25.4,4.6,9.9,17.9
14,0.512,0.527,0.539,75.0,15.8,27.5,4.9,10.8,19.6
15,0.501,0.516,0.527,8.1,16.9,29.7,5.3,11.8,21.4
16,0.49,0.504,0.516,8.6,18.1,31.9,5.7,12.7,23.2
17,0.479,0.493,0.505,9.1,19.4,34.1,6.1,13.7,25.0
18,0.469,0.483,0.495,9.7,20.6,36.3,6.6,14.7,26.9
19,0.459,0.472,0.484,0.2,21.9,38.6,7.0,15.7,28.8
20,0.448,0.462,0.474,0.8,23.2,41.0,14.0,16.7,30.8
21,0.439,0.452,0.464,1.4,24.4,43.3,7.9,17.8,32.8
22,0.429,0.442,0.454,2.0,25.8,45.7,8.3,18.9,34.9
23,0.419,0.433,0.445,2.5,27.1,48.1,8.8,20.0,37.0
24,0.41,0.424,0.435,3.1,28.4,50.6,9.2,21.1,39.1
25,0.401,0.415,0.426,3.7,29.8,53.1,9.7,22.2,41.3
26,0.392,0.406,0.417,43.0,31.2,55.6,10.2,23.4,43.5
27,0.384,0.398,0.409,5.0,32.5,58.1,10.7,24.6,45.7
28,0.375,0.389,0.4,5.6,33.9,60.7,11.2,25.8,48.0
29,0.367,0.381,0.392,6.2,35.3,63.3,11.7,27.0,50.3
30,0.359,0.373,0.383,6.8,36.8,65.9,12.2,28.2,52.7
31,0.352,0.365,0.375,75.0,38.2,68.5,12.7,29.5,55.1
32,0.344,0.358,0.367,8.1,39.7,71.2,13.3,30.7,57.5
33,0.337,0.35,0.36,8.7,41.1,73.8,13.8,32.0,59.9
34,0.33,0.343,0.349,9.4,42.6,76.5,14.3,33.3,62.4
35,0.323,0.336,0.339,20.0,44.1,79.3,14.9,34.7,64.9
36,0.316,0.329,0.329,20.7,45.6,82.0,15.5,36.0,67.5
37,0.31,0.322,0.32,21.4,47.1,84.8,16.0,37.3,70.1
38,0.303,0.315,0.31,22.0,48.6,87.6,16.6,38.7,72.7
39,0.297,0.308,0.301,22.7,50.2,90.4,17.2,40.1,75.3
40,0.291,0.302,0.293,23.4,51.7,93.2,17.7,41.5,78.0
41,0.285,0.296,0.284,24.1,53.3,96.1,18.3,42.9,80.7
42,0.279,0.289,0.276,24.8,54.8,99.0,18.9,44.3,83.4
43,0.273,0.283,0.268,25.4,56.4,101.9,19.5,45.8,86.2
44,0.267,0.277,0.26,26.1,58.0,104.8,20.1,47.2,89.0
45,0.261,0.269,0.253,26.8,59.6,107.7,20.7,48.7,91.8
46,0.256,0.261,0.245,27.6,61.2,110.7,21.3,50.2,94.7
47,0.251,0.254,0.238,28.3,62.8,113.6,22.0,51.7,97.5
48,0.245,0.247,0.231,29.0,64.5,116.6,22.6,53.2,100.4
49,0.24,0.239,0.225,29.7,66.1,119.6,23.2,54.8,103.4
50,0.235,0.232,0.218,30.4,67.8,122.7,23.9,56.3,106.3
51,0.23,0.226,0.212,31.1,69.4,125.7,24.5,57.9,109.3
52,0.225,0.219,0.206,31.9,71.1,128.8,25.2,59.4,112.3
53,0.221,0.213,0.199,32.6,72.8,131.8,25.8,61.0,115.4
54,0.216,0.207,0.193,33.4,74.5,134.9,26.5,62.6,118.4
55,0.211,0.201,0.188,34.1,76.2,138.0,27.2,64.2,121.5
56,0.207,0.195,0.182,34.8,77.9,141.2,27.8,65.9,124.6
57,0.203,0.189,0.177,35.6,79.6,144.3,28.5,67.5,127.8
58,0.198,0.184,0.171,36.3,81.3,147.5,29.2,69.2,130.9
59,0.194,0.178,0.166,37.1,83.0,150.6,29.9,70.8,134.1
